Gx,Gy,Bx,By,Advection time (sec),GFLOPs rate
1,4,2,512,2.46e-02,1.36e+01
1,4,4,256,2.71e-02,1.24e+01
1,4,8,128,3.81e-02,8.81e+00
1,4,16,64,4.34e-02,7.73e+00
1,4,32,32,5.50e-02,6.10e+00
1,4,64,16,5.64e-02,5.95e+00
1,4,128,8,5.67e-02,5.92e+00
1,4,256,4,5.77e-02,5.81e+00
1,4,512,2,5.74e-02,5.84e+00
1,8,1,512,1.40e-02,2.40e+01
1,8,2,256,1.33e-02,2.52e+01
1,8,4,128,1.40e-02,2.39e+01
1,8,8,64,1.62e-02,2.07e+01
1,8,16,32,2.64e-02,1.27e+01
1,8,32,16,3.21e-02,1.04e+01
1,8,64,8,3.30e-02,1.02e+01
1,8,128,4,3.20e-02,1.05e+01
1,8,256,2,2.99e-02,1.12e+01
1,8,512,1,2.86e-02,1.17e+01
1,16,1,256,8.55e-03,3.92e+01
1,16,2,128,8.16e-03,4.11e+01
1,16,4,64,7.83e-03,4.28e+01
1,16,8,32,9.69e-03,3.46e+01
1,16,16,16,1.14e-02,2.93e+01
1,16,32,8,1.77e-02,1.89e+01
1,16,64,4,2.11e-02,1.59e+01
1,16,128,2,2.04e-02,1.65e+01
1,16,256,1,1.82e-02,1.84e+01
2,2,2,512,2.24e-02,1.50e+01
2,2,4,256,3.33e-02,1.01e+01
2,2,8,128,5.42e-02,6.19e+00
2,2,16,64,5.46e-02,6.14e+00
2,2,32,32,5.66e-02,5.93e+00
2,2,64,16,5.79e-02,5.80e+00
2,2,128,8,4.73e-02,7.09e+00
2,2,256,4,5.54e-02,6.05e+00
2,2,512,2,4.80e-02,6.99e+00
2,4,1,512,1.11e-02,3.02e+01
2,4,2,256,1.37e-02,2.44e+01
2,4,4,128,1.62e-02,2.07e+01
2,4,8,64,2.69e-02,1.25e+01
2,4,16,32,2.70e-02,1.24e+01
2,4,32,16,3.25e-02,1.03e+01
2,4,64,8,3.10e-02,1.08e+01
2,4,128,4,3.02e-02,1.11e+01
2,4,256,2,2.96e-02,1.13e+01
2,4,512,1,2.43e-02,1.38e+01
2,8,1,256,8.23e-03,4.08e+01
2,8,2,128,7.74e-03,4.33e+01
2,8,4,64,8.55e-03,3.92e+01
2,8,8,32,1.43e-02,2.35e+01
2,8,16,16,1.40e-02,2.40e+01
2,8,32,8,2.02e-02,1.66e+01
2,8,64,4,2.10e-02,1.60e+01
2,8,128,2,1.76e-02,1.90e+01
2,8,256,1,1.46e-02,2.30e+01
4,1,2,512,2.76e-02,1.21e+01
4,1,4,256,5.20e-02,6.45e+00
4,1,8,128,4.65e-02,7.22e+00
4,1,16,64,4.50e-02,7.46e+00
4,1,32,32,5.57e-02,6.03e+00
4,1,64,16,5.72e-02,5.87e+00
4,1,128,8,5.86e-02,5.73e+00
4,1,256,4,4.31e-02,7.79e+00
4,1,512,2,4.72e-02,7.11e+00
4,2,1,512,1.41e-02,2.38e+01
4,2,2,256,1.60e-02,2.10e+01
4,2,4,128,2.62e-02,1.28e+01
4,2,8,64,2.86e-02,1.17e+01
4,2,16,32,2.64e-02,1.27e+01
4,2,32,16,2.99e-02,1.12e+01
4,2,64,8,2.96e-02,1.13e+01
4,2,128,4,2.86e-02,1.18e+01
4,2,256,2,2.63e-02,1.28e+01
4,2,512,1,2.28e-02,1.47e+01
4,4,1,256,7.71e-03,4.35e+01
4,4,2,128,8.22e-03,4.08e+01
4,4,4,64,1.43e-02,2.34e+01
4,4,8,32,1.36e-02,2.47e+01
4,4,16,16,1.31e-02,2.55e+01
4,4,32,8,1.85e-02,1.81e+01
4,4,64,4,1.73e-02,1.94e+01
4,4,128,2,1.50e-02,2.24e+01
4,4,256,1,1.29e-02,2.61e+01
8,1,1,512,1.45e-02,2.31e+01
8,1,2,256,2.80e-02,1.20e+01
8,1,4,128,2.22e-02,1.51e+01
8,1,8,64,2.72e-02,1.23e+01
8,1,16,32,2.84e-02,1.18e+01
8,1,32,16,2.76e-02,1.22e+01
8,1,64,8,2.82e-02,1.19e+01
8,1,128,4,2.06e-02,1.62e+01
8,1,256,2,2.13e-02,1.58e+01
8,1,512,1,1.80e-02,1.86e+01
8,2,1,256,7.84e-03,4.28e+01
8,2,2,128,1.41e-02,2.38e+01
8,2,4,64,1.30e-02,2.57e+01
8,2,8,32,1.37e-02,2.45e+01
8,2,16,16,1.45e-02,2.31e+01
8,2,32,8,1.52e-02,2.20e+01
8,2,64,4,1.41e-02,2.39e+01
8,2,128,2,1.26e-02,2.65e+01
8,2,256,1,1.05e-02,3.19e+01
16,1,1,256,1.33e-02,2.52e+01
16,1,2,128,1.41e-02,2.38e+01
16,1,4,64,1.40e-02,2.40e+01
16,1,8,32,1.18e-02,2.84e+01
16,1,16,16,1.38e-02,2.44e+01
16,1,32,8,1.47e-02,2.28e+01
16,1,64,4,1.19e-02,2.83e+01
16,1,128,2,1.07e-02,3.13e+01
16,1,256,1,8.95e-03,3.75e+01
